Catégorie;Code;Dénomination;Unité;Déboursé HT (€);Note
"Charpente";"";"Forfait coupes divers";"F";"455";""
"Charpente";"";"Forfait élévateur";"F";"850";""
"Charpente";"";"Fourniture et pose de charpente traditionnelle";"M²";"97.75";""
"Charpente";"Charpente ";"Fourniture et pose de chevrons et poutres bois pour réparation de toiture";"F";"1250";""
"Charpente";"";"Fourniture et pose de couloir Zinc ";"ML";"55.25";""
"Charpente";"";"Fourniture et pose de descentes ALU";"ML";"29.75";""
"Charpente";"";"Fourniture et pose de faitage posés à sec";"ML";"42.5";""
"Charpente";"";"Fourniture et pose de fronton ou about de faitage";"2";"56";""
"Charpente";"";"Fourniture et pose de gouttières ALU";"ML";"29.75";""
"Charpente";"";"Fourniture et pose de lambris PVC";"m²";"44";""
"Charpente";"";"Fourniture et pose de lambris PVC en débord de toiture ";"F";"244.8";""
"Charpente";"Charpente ";"Fourniture et pose de liteaux 30x40 support de couverture tuiles";"m²";"6";""
"Charpente";"";"Fourniture et pose de pare pluie";"M²";"6.8";""
"Charpente";"";"Fourniture et pose de pare pluie";"m²";"6.8";""
"Charpente";"";"Fourniture et pose de planches de rives PVC";"ML";"32";""
"Charpente";"";"Fourniture et pose de planches de rives PVC (uniquement à l'égout)";"ML";"35.7";""
"Charpente";"";"Fourniture et pose de tuile chatière et tuile à douille";"U";"125";""
"Charpente";"";"Fourniture et pose de tuiles Canal de chez TERREAL ";"M²";"38.25";""
"Charpente";"";"Fourniture et pose de tuiles DC12 de chez TERREAL";"m²";"44";""
"Charpente";"";"Fourniture et pose de tuiles de rives";"ML";"42.5";""
"Démolition";"";"Abatage et déssouchage d'arbres";"U";"500";""
"Démolition";"";"Dépose conduit de cheminée compris évacuation";"F";"685";""
"Démolition";"";"Dépose de cloture existantes ";"ml";"21";""
"Démolition";"";"Dépose de couverture avec évacuation en décharge ";"m²";"25";""
"Démolition";"";"Dépose de la charpente au droit de la poutre abîmée";"F";"750";""
"Démolition";"";"Dépose et évacuation carrelage existant";"m²";"0";""
