Code;Catégorie;Dénomination;Unité;Prix HT;Temps estimé (min);Description
CHA-001;Charpente;Forfait coupes divers;F;455;180;
CHA-002;Charpente;Forfait élévateur;F;850;180;
CHA-003;Charpente;Fourniture et pose de charpente traditionnelle;M²;97.75;90;
Charpente;Charpente;Fourniture et pose de chevrons et poutres bois pour réparation de toiture;F;1250;180;
CHA-004;Charpente;Fourniture et pose de couloir Zinc;ML;55.25;45;
CHA-005;Charpente;Fourniture et pose de descentes ALU;ML;29.75;45;
CHA-006;Charpente;Fourniture et pose de faitage posés à sec;ML;42.5;45;
CHA-007;Charpente;Fourniture et pose de fronton ou about de faitage;2;56;60;
CHA-008;Charpente;Fourniture et pose de gouttières ALU;ML;29.75;45;
CHA-009;Charpente;Fourniture et pose de lambris PVC;m²;44;90;
CHA-010;Charpente;Fourniture et pose de lambris PVC en débord de toiture;F;244.8;180;
Charpente;Charpente;Fourniture et pose de liteaux 30x40 support de couverture tuiles;m²;6;90;
CHA-011;Charpente;Fourniture et pose de pare pluie;M²;6.8;90;
CHA-012;Charpente;Fourniture et pose de pare pluie;m²;6.8;90;
CHA-013;Charpente;Fourniture et pose de planches de rives PVC;ML;32;45;
CHA-014;Charpente;Fourniture et pose de planches de rives PVC (uniquement à l'égout);ML;35.7;45;
CHA-015;Charpente;Fourniture et pose de tuile chatière et tuile à douille;U;125;120;
CHA-016;Charpente;Fourniture et pose de tuiles Canal de chez TERREAL;M²;38.25;90;
CHA-017;Charpente;Fourniture et pose de tuiles DC12 de chez TERREAL;m²;44;90;
CHA-018;Charpente;Fourniture et pose de tuiles de rives;ML;42.5;45;
DEM-001;Démolition;Abatage et déssouchage d'arbres;U;500;120;
DEM-002;Démolition;Dépose conduit de cheminée compris évacuation;F;685;180;
DEM-003;Démolition;Dépose de cloture existantes;ml;21;45;
DEM-004;Démolition;Dépose de couverture avec évacuation en décharge;m²;25;90;
DEM-005;Démolition;Dépose de la charpente au droit de la poutre abîmée;F;750;180;
DEM-006;Démolition;Dépose et évacuation carrelage existant;m²;0;90;
DEM-007;Démolition;Dépose et évacuation du doublage existant;m²;15;90;
DEM-008;Démolition;Dépose et évacuation margelle existante;ml;21;45;
DEM-009;Démolition;Dépose gouttière et descente;F;350;180;
DEM-010;Démolition;Dépose menuiserie existante et évacuation;U;50;120;
Démolition;Démolition;Dépose planche de rive et lambris compris évacuation;F;385;180;
DEM-011;Démolition;Sciage du béton;ml;10;45;
Gros-oeuvre;Gros Oeuvre;Acrotères BA;m²;78.4;90;
GO;Gros Oeuvre;Ajustement du niveau de la dalle du local surpresseur comprenant:;u;0;60;
L-001;- le remplissage de la fosse en béton allégé;;u;0;60;
L-002;"- la dalle de compression en béton armé finition lissée en;m2;1500;";;u;0;60;
Gros-œuvre;Gros Oeuvre;Appuis et seuil BA;U;120;120;
Gros-oeuvre;Gros Oeuvre;Appuis et seuil BA;U;108;120;
Gros-oeuvre;Gros Oeuvre;Arase étanche;ml;21.6;45;
Gros-œuvre;Gros Oeuvre;Bande de redressement;U;62.4;120;
GO;Gros Oeuvre;Bêches de blocage du hérisson des zones extérieures (profondeur minimale de 50 cm), comprenant :;u;0;60;
L-003;- le terrassement en rigole avec l'évacuation des terres;;u;0;60;
LE-001;"-le béton armé dosé à 300 kg, y compris le coffrage et les armatures.;ml;10.66;";;u;0;60;
Gros-oeuvre;Gros Oeuvre;Béton de fondation semelles filantes SF40;m3;304.92;60;
GO;Gros Oeuvre;Béton désactivé, travaux comprenant :;u;0;60;
L-004;- lit de sable de 5 d’épaisseur tiré à la règle, roulé et compacté uniformément donnant une forme de pente vers l’extérieur pour évacuation des eaux de pluies;;u;0;60;
